application_num,decision_date,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lon,dest_lat,Destination,exporter_proxy,importer_proxy
207,7/31/2019,20063,Diesel,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",J,29
207,7/31/2019,10040,Petrol,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",J,29
208,8/3/2019,29871,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",T,24
209,8/8/2019,6055,Diesel,55.302551,25.257111,"Al Hamriya, UAE",49.123680,14.543720,"Mukalla, Yemen",I,15
21,12/8/2018,1550,Petrol,,,,44.201960,15.361980,"Nishtun, Yemen",,29
21,12/8/2018,841,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,29
210,8/8/2019,29986,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",Z,9
211,8/4/2019,28988,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",L,27
212,8/6/2019,19800,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
212,8/6/2019,9098,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
213,8/7/2019,11775,Diesel,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
214,8/7/2019,9864,Petrol,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
215,8/8/2019,2000,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",K,23
216,8/8/2019,59988,Diesel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",K,2
217,8/8/2019,29403,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",T,24
218,8/13/2019,8189,Mazout,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
219,8/18/2019,3871,Diesel,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
22,12/9/2018,18010,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,10
22,12/9/2018,9444,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,10
221,,9858,Petrol,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
222,9/5/2019,10000,Petrol,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
223,9/5/2019,2500,Diesel,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",G,5
223,9/5/2019,2500,Petrol,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",G,5
224,9/8/2019,17991,Diesel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",K,1
225,9/9/2019,2000,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",K,23
226,9/9/2019,8192,Mazout,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
227,9/10/2019,2400,Diesel,56.346218,25.144190,"Fujairah, UAE",44.201960,15.361980,"Nishtun, Yemen",G,5
229,9/15/2019,11377,Diesel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",W,3
23,12/12/2018,7610,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,29
230,9/15/2019,4738,Petrol,56.346218,25.144190,"Fujairah, UAE",44.201960,15.361980,"Nishtun, Yemen",J,29
232,9/21/2019,59095,Diesel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",B,2
233,9/24/2019,34341,Diesel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",K,1
234,9/25/2019,38490,Diesel,38.063358,24.093920,"Yanbu, Saudi Arabia",45.035469,12.809800,"Aden, Yemen",B,2
235,9/25/2019,3514,Diesel,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
236,9/25/2019,2830,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",J,29
